,0
2010-02-11,
2010-02-12,
2010-02-13,0.042
2010-02-14,
2010-02-15,0.066
2010-02-16,
2010-02-17,0.085
2010-02-18,
2010-02-19,0.097
2010-02-20,
2010-02-21,0.026
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-02-27,
2010-02-28,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-06,
2010-03-07,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-13,
2010-03-14,
2010-03-15,
2010-03-16,0.032
2010-03-17,
2010-03-18,0.051
2010-03-19,
2010-03-20,0.017
2010-03-21,
2010-03-22,0.026
2010-03-23,
2010-03-24,0.038
2010-03-25,
2010-03-26,0.023
2010-03-27,
2010-03-28,0.066
2010-03-29,0.045
2010-03-30,
2010-03-31,
2010-04-01,0.032
2010-04-02,
2010-04-03,0.04
2010-04-04,
2010-04-05,0.031
2010-04-06,
2010-04-07,0.017
2010-04-08,
2010-04-09,0.028
2010-04-10,
2010-04-11,0.063
2010-04-12,
2010-04-13,0.023
2010-04-14,
2010-04-15,0.03
2010-04-16,
2010-04-17,0.029
2010-04-18,
2010-04-19,0.033
2010-04-20,
2010-04-21,0.04
2010-04-22,
2010-04-23,0.011
2010-04-24,
2010-04-25,0.035
2010-04-26,0.025
2010-04-27,
2010-04-28,0.028
2010-04-29,
2010-04-30,0.033
2010-05-01,
2010-05-02,0.033
2010-05-03,
2010-05-04,0.042
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-08,
2010-05-09,
2010-05-10,
2010-05-11,
2010-05-12,0.027
2010-05-13,
2010-05-14,
2010-05-15,
2010-05-16,0.045
2010-05-17,
2010-05-18,0.027
2010-05-19,0.022
2010-05-20,0.02
2010-05-21,0.022
2010-05-22,
2010-05-23,
2010-05-24,0.037
2010-05-25,
2010-05-26,0.037
2010-05-27,
2010-05-28,
2010-05-29,0.196
2010-05-30,
2010-05-31,0.05
2010-06-01,
2010-06-02,0.064
2010-06-03,
2010-06-04,0.059
2010-06-05,
2010-06-06,0.084
2010-06-07,
2010-06-08,0.044
2010-06-09,
2010-06-10,0.01
2010-06-11,
2010-06-12,
2010-06-13,0.024
2010-06-14,
2010-06-15,0.027
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-19,
2010-06-20,0.027
2010-06-21,0.031
2010-06-22,
2010-06-23,0.04
2010-06-24,
2010-06-25,0.017
2010-06-26,
2010-06-27,0.014
2010-06-28,
2010-06-29,0.008
2010-06-30,
2010-07-01,0.01
2010-07-02,
2010-07-03,0.021
2010-07-04,
2010-07-05,0.027
2010-07-06,0.012
2010-07-07,
2010-07-08,0.019
2010-07-09,
2010-07-10,0.011
2010-07-11,
2010-07-12,0.015
2010-07-13,
2010-07-14,0.016
2010-07-15,
2010-07-16,0.01
2010-07-17,
2010-07-18,
2010-07-19,0.015
2010-07-20,
2010-07-21,0.012
2010-07-22,
2010-07-23,
2010-07-24,0.015
2010-07-25,
2010-07-26,0.026
2010-07-27,
2010-07-28,0.024
2010-07-29,0.021
2010-07-30,
2010-07-31,0.042
2010-08-01,
2010-08-02,
2010-08-03,0.027
2010-08-04,
2010-08-05,0.018
2010-08-06,
2010-08-07,0.007
2010-08-08,
2010-08-09,0.014
2010-08-10,
2010-08-11,0.009
2010-08-12,
2010-08-13,0.015
2010-08-14,
2010-08-15,0.026
2010-08-16,
2010-08-17,0.011
2010-08-18,
2010-08-19,0.014
2010-08-20,
2010-08-21,0.016
2010-08-22,
2010-08-23,0.008
2010-08-24,
2010-08-25,0.001
2010-08-26,
2010-08-27,0.012
2010-08-28,
2010-08-29,0.009
2010-08-30,0.015
2010-08-31,
2010-09-01,0.015
2010-09-02,
2010-09-03,0.022
2010-09-04,
2010-09-05,0.042
2010-09-06,
2010-09-07,0.019
2010-09-08,
2010-09-09,0.018
2010-09-10,
2010-09-11,0.012
2010-09-12,
2010-09-13,0.013
2010-09-14,0.019
2010-09-15,
2010-09-16,0.025
2010-09-17,
2010-09-18,0.033
2010-09-19,
2010-09-20,0.026
2010-09-21,
2010-09-22,0.018
2010-09-23,
2010-09-24,0.052
2010-09-25,
2010-09-26,0.073
2010-09-27,0.129
2010-09-28,
2010-09-29,0.061
2010-09-30,
2010-10-01,
2010-10-02,
2010-10-03,
2010-10-04,0.014
2010-10-05,
2010-10-06,0.015
2010-10-07,
2010-10-08,0.021
2010-10-09,
2010-10-10,0.026
2010-10-11,
2010-10-12,0.009
2010-10-13,0.023
2010-10-14,
2010-10-15,0.104
2010-10-16,
2010-10-17,0.028
2010-10-18,
2010-10-19,0.078
2010-10-20,
2010-10-21,0.029
2010-10-22,
2010-10-23,0.007
2010-10-24,
2010-10-25,0.017
2010-10-26,
2010-10-27,0.019
2010-10-28,
2010-10-29,0.035
2010-10-30,
2010-10-31,0.04
2010-11-01,
2010-11-02,
2010-11-03,0.052
2010-11-04,
2010-11-05,
2010-11-06,0.058
2010-11-07,
2010-11-08,0.039
2010-11-09,
2010-11-10,0.114
2010-11-11,
2010-11-12,
2010-11-13,0.122
2010-11-14,
2010-11-15,0.087
2010-11-16,
2010-11-17,0.067
2010-11-18,
2010-11-19,0.089
2010-11-20,0.071
2010-11-21,
2010-11-22,0.051
2010-11-23,
2010-11-24,
2010-11-25,0.059
2010-11-26,
2010-11-27,
2010-11-28,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-04,
2010-12-05,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-11,
2010-12-12,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-18,
2010-12-19,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-24,
2010-12-25,
2010-12-26,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,
2010-12-31,
2011-01-01,0.017
2011-01-02,
2011-01-03,
2011-01-04,0.015
2011-01-05,
2011-01-06,
2011-01-07,0.007
2011-01-08,
2011-01-09,
2011-01-10,0.006
2011-01-11,
2011-01-12,
2011-01-13,0.042
2011-01-14,
2011-01-15,
2011-01-16,
2011-01-17,0.001
2011-01-18,
2011-01-19,
2011-01-20,
2011-01-21,
2011-01-22,
2011-01-23,
2011-01-24,0.007
2011-01-25,
2011-01-26,
2011-01-27,
2011-01-28,
2011-01-29,
2011-01-30,
2011-01-31,
2011-02-01,
2011-02-02,0.038
2011-02-03,
2011-02-04,
2011-02-05,0.031
2011-02-06,
2011-02-07,
2011-02-08,0.021
2011-02-09,
2011-02-10,0.007
2011-02-11,
2011-02-12,
2011-02-13,0.003
2011-02-14,
2011-02-15,
2011-02-16,0.009
2011-02-17,
2011-02-18,
2011-02-19,0.09
2011-02-20,
2011-02-21,
2011-02-22,0.018
2011-02-23,
2011-02-24,
2011-02-25,0.095
2011-02-26,
2011-02-27,
2011-02-28,
2011-03-01,
2011-03-02,
2011-03-03,
2011-03-04,
2011-03-05,
2011-03-06,
2011-03-07,
2011-03-08,
2011-03-09,
2011-03-10,
2011-03-11,
2011-03-12,0.014
2011-03-13,
2011-03-14,0.002
2011-03-15,
2011-03-16,0.015
2011-03-17,
2011-03-18,0.026
2011-03-19,
2011-03-20,0.013
2011-03-21,
2011-03-22,0.011
2011-03-23,
2011-03-24,0.017
2011-03-25,0.016
2011-03-26,
2011-03-27,
2011-03-28,0.001
2011-03-29,
2011-03-30,
2011-03-31,0.026
2011-04-01,
2011-04-02,
2011-04-03,0.06
2011-04-04,
2011-04-05,
2011-04-06,0.015
2011-04-07,
2011-04-08,0.014
2011-04-09,
2011-04-10,
2011-04-11,
2011-04-12,
2011-04-13,
2011-04-14,
2011-04-15,0.026
2011-04-16,
2011-04-17,0.158
2011-04-18,
2011-04-19,
2011-04-20,0.01
2011-04-21,
2011-04-22,0.003
2011-04-23,
2011-04-24,
2011-04-25,0.009
2011-04-26,
2011-04-27,
2011-04-28,0.024
2011-04-29,
2011-04-30,
2011-05-01,0.019
2011-05-02,
2011-05-03,
2011-05-04,0.053
2011-05-05,
2011-05-06,
2011-05-07,0.034
2011-05-08,
2011-05-09,
2011-05-10,0.036
2011-05-11,
2011-05-12,
2011-05-13,0.012
2011-05-14,
2011-05-15,
2011-05-16,0.011
2011-05-17,
2011-05-18,
2011-05-19,0.195
2011-05-20,
2011-05-21,
2011-05-22,0.012
2011-05-23,
2011-05-24,
2011-05-25,0.011
2011-05-26,
2011-05-27,
2011-05-28,0.583
2011-05-29,
2011-05-30,
2011-05-31,0.189
2011-06-01,
2011-06-02,
2011-06-03,0.135
2011-06-04,
2011-06-05,
2011-06-06,
2011-06-07,
2011-06-08,
2011-06-09,
2011-06-10,
2011-06-11,
2011-06-12,
2011-06-13,
2011-06-14,
2011-06-15,
2011-06-16,
2011-06-17,
2011-06-18,
2011-06-19,
2011-06-20,
2011-06-21,
2011-06-22,
2011-06-23,
2011-06-24,
2011-06-25,
2011-06-26,
2011-06-27,
2011-06-28,
2011-06-29,
2011-06-30,
2011-07-01,
2011-07-02,0.009
2011-07-03,
2011-07-04,
2011-07-05,0.013
2011-07-06,
2011-07-07,
2011-07-08,0.009
2011-07-09,
2011-07-10,
2011-07-11,0.015
2011-07-12,
2011-07-13,
2011-07-14,0.011
2011-07-15,
2011-07-16,
2011-07-17,0.01
2011-07-18,
2011-07-19,
2011-07-20,0.019
2011-07-21,
2011-07-22,
2011-07-23,0.011
2011-07-24,
2011-07-25,
2011-07-26,0.02
2011-07-27,
2011-07-28,
2011-07-29,
2011-07-30,0.01
2011-07-31,
2011-08-01,
2011-08-02,0.006
2011-08-03,
2011-08-04,
2011-08-05,0.008
2011-08-06,
2011-08-07,
2011-08-08,0.004
2011-08-09,
2011-08-10,
2011-08-11,
2011-08-12,0.023
2011-08-13,
2011-08-14,
2011-08-15,0.003
2011-08-16,
2011-08-17,
2011-08-18,0.002
2011-08-19,
2011-08-20,
2011-08-21,0.006
2011-08-22,
2011-08-23,
2011-08-24,0.014
2011-08-25,
2011-08-26,
2011-08-27,0.009
2011-08-28,
2011-08-29,
2011-08-30,0.004
2011-08-31,
2011-09-01,
2011-09-02,0.008
2011-09-03,
2011-09-04,
2011-09-05,0.019
2011-09-06,
2011-09-07,
2011-09-08,0.004
2011-09-09,
2011-09-10,
2011-09-11,0.0
2011-09-12,
2011-09-13,
2011-09-14,0.004
2011-09-15,
2011-09-16,
2011-09-17,0.005
2011-09-18,
2011-09-19,
2011-09-20,0.007
2011-09-21,
2011-09-22,
2011-09-23,0.029
2011-09-24,
2011-09-25,
2011-09-26,0.011
2011-09-27,
2011-09-28,
2011-09-29,0.012
2011-09-30,
2011-10-01,
2011-10-02,0.018
2011-10-03,
2011-10-04,
2011-10-05,0.012
2011-10-06,
2011-10-07,
2011-10-08,0.007
2011-10-09,
2011-10-10,
2011-10-11,0.102
2011-10-12,
2011-10-13,
2011-10-14,0.008
2011-10-15,
2011-10-16,
2011-10-17,0.013
2011-10-18,
2011-10-19,
2011-10-20,0.03
2011-10-21,
2011-10-22,
2011-10-23,0.026
2011-10-24,
2011-10-25,
2011-10-26,0.034
2011-10-27,
2011-10-28,
2011-10-29,0.019
2011-10-30,
2011-10-31,
2011-11-01,0.018
2011-11-02,
2011-11-03,
2011-11-04,0.017
2011-11-05,
2011-11-06,
2011-11-07,0.017
2011-11-08,
2011-11-09,
2011-11-10,0.009
2011-11-11,
2011-11-12,
2011-11-13,0.047
2011-11-14,
2011-11-15,
2011-11-16,0.049
2011-11-17,
2011-11-18,
2011-11-19,0.02
2011-11-20,
2011-11-21,
2011-11-22,0.007
2011-11-23,
2011-11-24,
2011-11-25,0.081
2011-11-26,
2011-11-27,
2011-11-28,0.024
2011-11-29,
2011-11-30,
2011-12-01,0.047
2011-12-02,
2011-12-03,
2011-12-04,0.045
2011-12-05,
2011-12-06,
2011-12-07,0.02
2011-12-08,
2011-12-09,
2011-12-10,
2011-12-11,
2011-12-12,0.055
2011-12-13,
2011-12-14,
2011-12-15,0.054
2011-12-16,
2011-12-17,
2011-12-18,0.077
2011-12-19,
2011-12-20,
2011-12-21,0.052
2011-12-22,
2011-12-23,
2011-12-24,0.026
2011-12-25,
2011-12-26,
2011-12-27,0.032
2011-12-28,
2011-12-29,
2011-12-30,
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,0.039
2012-01-04,0.019
2012-01-05,
2012-01-06,
2012-01-07,
2012-01-08,
2012-01-09,0.046
2012-01-10,
2012-01-11,
2012-01-12,0.064
2012-01-13,0.019
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,
2012-01-18,
2012-01-19,
2012-01-20,0.043
2012-01-21,0.06
2012-01-22,
2012-01-23,0.06
2012-01-24,0.071
2012-01-25,
2012-01-26,0.208
2012-01-27,
2012-01-28,0.166
2012-01-29,0.181
2012-01-30,0.079
2012-01-31,
2012-02-01,
2012-02-02,
2012-02-03,0.215
2012-02-04,0.203
2012-02-05,0.338
2012-02-06,0.293
2012-02-07,0.206
2012-02-08,
2012-02-09,
2012-02-10,0.079
2012-02-11,
2012-02-12,
2012-02-13,0.347
2012-02-14,0.403
2012-02-15,0.382
2012-02-16,
2012-02-17,
2012-02-18,
2012-02-19,0.039
2012-02-20,0.061
2012-02-21,0.123
2012-02-22,0.066
2012-02-23,
2012-02-24,0.07
2012-02-25,
2012-02-26,
2012-02-27,
2012-02-28,
2012-02-29,
2012-03-01,0.019
2012-03-02,
2012-03-03,
2012-03-04,
2012-03-05,
2012-03-06,
2012-03-07,
2012-03-08,
2012-03-09,
2012-03-10,0.019
2012-03-11,0.138
2012-03-12,1.052
2012-03-13,0.428
2012-03-14,
2012-03-15,
2012-03-16,
2012-03-17,
2012-03-18,0.142
2012-03-19,
2012-03-20,
2012-03-21,
2012-03-22,
2012-03-23,0.154
2012-03-24,
2012-03-25,
2012-03-26,
2012-03-27,
2012-03-28,0.066
2012-03-29,
2012-03-30,
2012-03-31,0.074
2012-04-01,
2012-04-02,
2012-04-03,
2012-04-04,
2012-04-05,0.182
2012-04-06,0.108
2012-04-07,
2012-04-08,
2012-04-09,
2012-04-10,
2012-04-11,
2012-04-12,
2012-04-13,
2012-04-14,
2012-04-15,
2012-04-16,
2012-04-17,
2012-04-18,
2012-04-19,
2012-04-20,
2012-04-21,
2012-04-22,
2012-04-23,
2012-04-24,
2012-04-25,
2012-04-26,
2012-04-27,
2012-04-28,0.216
2012-04-29,
2012-04-30,0.402
2012-05-01,0.072
2012-05-02,0.443
2012-05-03,0.068
2012-05-04,0.122
2012-05-05,
2012-05-06,
2012-05-07,
2012-05-08,
2012-05-09,
2012-05-10,
2012-05-11,0.043
2012-05-12,
2012-05-13,
2012-05-14,
2012-05-15,
2012-05-16,
2012-05-17,
2012-05-18,0.019
2012-05-19,
2012-05-20,
2012-05-21,
2012-05-22,
2012-05-23,0.471
2012-05-24,
2012-05-25,
2012-05-26,
2012-05-27,
2012-05-28,
2012-05-29,
2012-05-30,0.04
2012-05-31,0.041
2012-06-01,
2012-06-02,
2012-06-03,
2012-06-04,
2012-06-05,0.019
2012-06-06,
2012-06-07,
2012-06-08,
2012-06-09,
2012-06-10,
2012-06-11,0.019
2012-06-12,
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-16,
2012-06-17,
2012-06-18,0.019
2012-06-19,
2012-06-20,
2012-06-21,
2012-06-22,
2012-06-23,
2012-06-24,
2012-06-25,0.019
2012-06-26,
2012-06-27,
2012-06-28,
2012-06-29,
2012-06-30,
2012-07-01,
2012-07-02,0.047
2012-07-03,
2012-07-04,
2012-07-05,
2012-07-06,
2012-07-07,0.019
2012-07-08,
2012-07-09,
2012-07-10,
2012-07-11,
2012-07-12,
2012-07-13,
2012-07-14,
2012-07-15,
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,0.02
2012-07-21,
2012-07-22,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,0.019
2012-07-28,
2012-07-29,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-04,
2012-08-05,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,0.043
2012-08-11,
2012-08-12,
2012-08-13,
2012-08-14,0.078
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-18,
2012-08-19,
2012-08-20,
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-25,
2012-08-26,
2012-08-27,
2012-08-28,
2012-08-29,
2012-08-30,
2012-08-31,
2012-09-01,
2012-09-02,
2012-09-03,
2012-09-04,0.019
2012-09-05,
2012-09-06,
2012-09-07,
2012-09-08,
2012-09-09,
2012-09-10,
2012-09-11,
2012-09-12,0.019
2012-09-13,
2012-09-14,
2012-09-15,
2012-09-16,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-22,
2012-09-23,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-09-29,
2012-09-30,
2012-10-01,
2012-10-02,0.044
2012-10-03,
2012-10-04,
2012-10-05,0.019
2012-10-06,
2012-10-07,
2012-10-08,0.05
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-13,
2012-10-14,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,0.071
2012-10-19,
2012-10-20,
2012-10-21,
2012-10-22,0.414
2012-10-23,0.08
2012-10-24,
2012-10-25,
2012-10-26,
2012-10-27,
2012-10-28,
2012-10-29,
2012-10-30,0.057
2012-10-31,0.103
2012-11-01,0.057
2012-11-02,
2012-11-03,
2012-11-04,
2012-11-05,
2012-11-06,
2012-11-07,
2012-11-08,
2012-11-09,
2012-11-10,
2012-11-11,
2012-11-12,
2012-11-13,0.061
2012-11-14,
2012-11-15,
2012-11-16,0.048
2012-11-17,
2012-11-18,
2012-11-19,0.097
2012-11-20,
2012-11-21,
2012-11-22,
2012-11-23,
2012-11-24,
2012-11-25,
2012-11-26,0.042
2012-11-27,
2012-11-28,0.05
2012-11-29,
2012-11-30,
2012-12-01,0.337
2012-12-02,
2012-12-03,
2012-12-04,
2012-12-05,0.019
2012-12-06,
2012-12-07,
2012-12-08,0.063
2012-12-09,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,0.043
2012-12-15,0.056
2012-12-16,0.065
2012-12-17,
2012-12-18,
2012-12-19,
2012-12-20,
2012-12-21,0.078
2012-12-22,
2012-12-23,
2012-12-24,0.05
2012-12-25,0.192
2012-12-26,
2012-12-27,0.079
2012-12-28,0.274
2012-12-29,0.158
2012-12-30,0.135
2012-12-31,0.263
2013-01-01,0.009
2013-01-02,0.141
2013-01-03,0.022
2013-01-04,0.031
2013-01-05,0.007
2013-01-06,0.007
2013-01-07,0.01
2013-01-08,0.009
2013-01-09,0.007
2013-01-10,0.007
2013-01-11,
2013-01-12,
2013-01-13,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,0.097
2013-01-18,0.217
2013-01-19,0.071
2013-01-20,0.062
2013-01-21,0.053
2013-01-22,0.112
2013-01-23,0.098
2013-01-24,0.117
2013-01-25,0.042
2013-01-26,0.108
2013-01-27,0.109
2013-01-28,0.025
2013-01-29,0.007
2013-01-30,0.007
2013-01-31,0.007
2013-02-01,0.007
2013-02-02,0.015
2013-02-03,0.04
2013-02-04,0.066
2013-02-05,0.075
2013-02-06,0.067
2013-02-07,0.064
2013-02-08,0.171
2013-02-09,0.125
2013-02-10,0.134
2013-02-11,0.033
2013-02-12,0.044
2013-02-13,0.031
2013-02-14,0.078
2013-02-15,0.028
2013-02-16,0.021
2013-02-17,0.135
2013-02-18,0.012
2013-02-19,0.017
2013-02-20,0.021
2013-02-21,0.037
2013-02-22,0.061
2013-02-23,0.262
2013-02-24,0.174
2013-02-25,0.14
2013-02-26,0.152
2013-02-27,0.079
2013-02-28,0.046
2013-03-01,0.016
2013-03-02,0.013
2013-03-03,0.084
2013-03-04,0.043
2013-03-05,0.073
2013-03-06,0.059
2013-03-07,0.031
2013-03-08,0.108
2013-03-09,0.093
2013-03-10,0.098
2013-03-11,0.373
2013-03-12,0.28
2013-03-13,0.177
2013-03-14,0.161
2013-03-15,0.148
2013-03-16,0.033
2013-03-17,
