,0
2000-04-15,
2001-04-15,559.4435729980469
2002-04-15,
2003-04-15,765.1025390625
2004-04-15,706.1853942871094
2005-04-15,748.4301350911459
2006-04-15,549.649658203125
2007-04-15,379.7030436197917
2008-04-15,478.09450276692706
2009-04-15,363.7843475341797
2010-04-15,
2011-04-15,1010.833984375
2012-04-15,302.3047332763672
2013-04-15,437.15076700846356
2014-04-15,416.9042510986328
2015-04-15,412.88694763183594
2016-04-15,269.1852569580078
2017-04-15,283.39170328776044
2018-04-15,301.8641306559245
2019-04-15,302.0079803466797
