,0
2013-01-02,0.09989552471542182
2013-01-03,0.05993731482925309
2013-01-04,0.05993731482925309
2013-01-05,0.05993731482925309
2013-01-06,0.07991641977233745
2013-01-07,0.05993731482925309
2013-01-08,0.07991641977233745
2013-01-09,0.11987462965850618
2013-01-10,0.05993731482925309
2013-01-11,0.05993731482925309
2013-01-12,0.05993731482925309
2013-01-13,0.5594149384063622
2013-01-14,0.17981194448775925
2013-01-15,0.05993731482925309
2013-01-16,0.05993731482925309
2013-01-17,0.05993731482925309
2013-01-18,0.09989552471542182
2013-01-19,0.05993731482925309
2013-01-20,0.05993731482925309
2013-01-21,0.05993731482925309
2013-01-22,0.05993731482925309
2013-01-23,0.05993731482925309
2013-01-24,0.05993731482925309
2013-01-25,0.09989552471542182
2013-01-26,0.2597283642600967
2013-01-27,0.05993731482925309
2013-01-28,0.05993731482925309
2013-01-29,0.05993731482925309
2013-01-30,0.07991641977233745
2013-01-31,0.3796029939186029
2013-02-01,0.07991641977233745
2013-02-02,0.05993731482925309
2013-02-03,0.2797074692031811
2013-02-04,0.03995820988616872
2013-02-05,0.23974925931701235
2013-02-06,0.03995820988616872
2013-02-07,0.09989552471542182
2013-02-08,0.4794985186340247
2013-02-09,0.03995820988616872
2013-02-10,0.03995820988616872
2013-02-11,0.03995820988616872
2013-02-12,0.03995820988616872
2013-02-13,0.07991641977233745
2013-02-14,0.03995820988616872
2013-02-15,0.03995820988616872
2013-02-16,0.03995820988616872
2013-02-17,0.07991641977233745
2013-02-18,0.03995820988616872
2013-02-19,0.05993731482925309
2013-02-20,0.03995820988616872
2013-02-21,0.03995820988616872
2013-02-22,0.03995820988616872
2013-02-23,0.05993731482925309
2013-02-24,0.03995820988616872
2013-02-25,0.05993731482925309
2013-02-26,0.03995820988616872
2013-02-27,0.03995820988616872
2013-02-28,0.219770154373928
2013-03-01,0.13985373460159056
2013-03-02,0.5993731482925309
2013-03-03,0.45951941369094035
2013-03-04,0.6393313581786996
2013-03-05,0.05993731482925309
2013-03-06,0.05993731482925309
2013-03-07,
2013-03-08,0.05993731482925309
2013-03-09,0.05993731482925309
2013-03-10,0.05993731482925309
2013-03-11,1.2786627163573991
2013-03-12,1.2786627163573991
2013-03-13,2.1777224387961955
2013-03-14,0.219770154373928
2013-03-15,0.05993731482925309
2013-03-16,0.05993731482925309
2013-03-17,0.05993731482925309
2013-03-18,0.05993731482925309
2013-03-19,0.219770154373928
2013-03-20,0.05993731482925309
2013-03-21,0.05993731482925309
2013-03-22,0.05993731482925309
2013-03-23,0.05993731482925309
2013-03-24,0.07991641977233745
2013-03-25,0.05993731482925309
2013-03-26,0.05993731482925309
2013-03-27,0.05993731482925309
2013-03-28,0.05993731482925309
2013-03-29,0.05993731482925309
2013-03-30,0.05993731482925309
2013-03-31,0.05993731482925309
2013-04-01,0.03995820988616872
2013-04-02,0.1598328395446749
2013-04-03,0.17981194448775925
2013-04-04,0.05993731482925309
2013-04-05,0.07991641977233745
2013-04-06,0.03995820988616872
2013-04-07,0.03995820988616872
2013-04-08,0.07991641977233745
2013-04-09,1.2387045064712305
2013-04-10,0.219770154373928
2013-04-11,0.07991641977233745
2013-04-12,0.05993731482925309
2013-04-13,0.05993731482925309
2013-04-14,0.05993731482925309
2013-04-15,
2013-04-16,0.11987462965850618
2013-04-17,0.07991641977233745
2013-04-18,0.05993731482925309
2013-04-19,0.07991641977233745
2013-04-20,0.03995820988616872
2013-04-21,0.03995820988616872
2013-04-22,0.07991641977233745
2013-04-23,0.07991641977233745
2013-04-24,0.1598328395446749
2013-04-25,0.2797074692031811
2013-04-26,0.03995820988616872
2013-04-27,0.23974925931701235
2013-04-28,0.2597283642600967
2013-04-29,0.03995820988616872
2013-04-30,0.03995820988616872
2013-05-01,0.05993731482925309
2013-05-02,0.05993731482925309
2013-05-03,0.07991641977233745
2013-05-04,0.07991641977233745
2013-05-05,0.03995820988616872
2013-05-06,0.01997910494308436
2013-05-07,
2013-05-08,0.01997910494308436
2013-05-09,0.03995820988616872
2013-05-10,0.13985373460159056
2013-05-11,0.05993731482925309
2013-05-12,0.17981194448775925
2013-05-13,0.01997910494308436
2013-05-14,0.05993731482925309
2013-05-15,0.11987462965850618
2013-05-16,0.07991641977233745
2013-05-17,0.01997910494308436
2013-05-18,0.23974925931701235
2013-05-19,0.01997910494308436
